iter	Passed	Remaining
0	6	3215
1	12	3204
2	19	3155
3	25	3189
4	31	3167
5	38	3168
6	44	3150
7	51	3138
8	57	3123
9	63	3091
10	68	3065
11	74	3036
12	80	3020
13	86	3011
14	92	2995
15	98	2977
16	104	2962
17	110	2955
18	116	2953
19	122	2932
20	127	2917
21	133	2904
22	139	2899
23	145	2883
24	151	2871
25	156	2861
26	162	2848
27	168	2841
28	174	2838
29	180	2829
30	185	2808
31	191	2800
32	196	2775
33	201	2764
34	207	2754
35	213	2748
36	219	2743
37	225	2736
38	230	2726
39	236	2724
40	241	2706
41	247	2704
42	252	2688
43	257	2672
44	263	2667
45	269	2655
46	273	2639
47	280	2637
48	284	2618
49	290	2614
50	296	2609
51	300	2591
52	306	2587
53	312	2582
54	317	2564
55	323	2561
56	327	2546
57	331	2530
58	336	2514
59	341	2501
60	347	2500
61	353	2496
62	357	2481
63	362	2468
64	368	2466
65	374	2461
66	378	2447
67	384	2444
68	389	2433
69	394	2422
70	400	2418
71	406	2414
72	410	2403
73	415	2392
74	420	2380
75	425	2372
76	431	2371
77	436	2360
78	442	2360
79	447	2349
80	453	2346
81	458	2335
82	463	2326
83	467	2316
84	472	2306
85	477	2296
86	482	2290
87	487	2281
88	491	2271
89	496	2263
90	501	2255
91	505	2243
92	511	2239
93	517	2236
94	521	2224
95	526	2215
96	531	2206
97	535	2196
98	539	2186
99	544	2178
100	549	2170
101	553	2161
102	558	2151
103	562	2143
104	567	2133
105	571	2125
106	576	2116
107	580	2107
108	584	2098
109	589	2089
110	593	2081
111	598	2072
112	602	2064
113	607	2056
114	611	2047
115	616	2039
116	620	2031
117	625	2023
118	629	2015
119	634	2008
120	638	2000
121	643	1992
122	647	1985
123	652	1977
124	656	1970
125	661	1963
126	666	1956
127	670	1949
128	674	1941
129	679	1933
130	683	1926
131	688	1918
132	692	1911
133	697	1904
134	701	1897
135	706	1890
136	710	1883
137	715	1876
138	719	1869
139	724	1862
140	728	1855
141	733	1848
142	737	1841
143	742	1834
144	746	1827
145	750	1820
146	755	1815
147	760	1808
148	764	1801
149	769	1795
150	773	1788
151	778	1782
152	782	1775
153	787	1769
154	791	1762
155	796	1755
156	800	1749
157	805	1743
158	809	1736
159	814	1730
160	818	1723
161	823	1717
162	827	1710
163	832	1704
164	836	1698
165	840	1691
166	845	1685
167	849	1679
168	854	1672
169	858	1666
170	862	1660
171	867	1654
172	871	1648
173	876	1642
174	880	1635
175	885	1629
176	889	1623
177	894	1617
178	898	1611
179	903	1606
180	908	1600
181	912	1594
182	917	1589
183	921	1583
184	926	1577
185	930	1571
186	935	1565
187	939	1559
188	944	1553
189	948	1547
190	952	1541
191	957	1535
192	961	1529
193	966	1524
194	970	1518
195	974	1512
196	979	1506
197	983	1500
198	988	1494
199	992	1489
200	997	1483
201	1001	1477
202	1006	1471
203	1010	1466
204	1014	1460
205	1019	1454
206	1023	1448
207	1028	1443
208	1032	1437
209	1036	1432
210	1041	1426
211	1045	1420
212	1050	1414
213	1054	1409
214	1058	1403
215	1063	1398
216	1068	1393
217	1072	1387
218	1077	1382
219	1081	1376
220	1086	1371
221	1090	1365
222	1095	1360
223	1099	1354
224	1103	1349
225	1108	1343
226	1112	1338
227	1117	1332
228	1121	1327
229	1126	1321
230	1130	1316
231	1134	1311
232	1139	1305
233	1143	1300
234	1148	1295
235	1152	1289
236	1157	1284
237	1161	1279
238	1166	1273
239	1170	1268
240	1175	1263
241	1179	1257
242	1184	1252
243	1188	1247
244	1193	1241
245	1197	1236
246	1202	1231
247	1206	1225
248	1210	1220
249	1215	1215
250	1219	1209
251	1224	1204
252	1228	1199
253	1233	1194
254	1237	1188
255	1241	1183
256	1246	1178
257	1250	1173
258	1254	1167
259	1259	1162
260	1263	1157
261	1268	1152
262	1272	1147
263	1277	1141
264	1281	1136
265	1286	1131
266	1290	1126
267	1295	1121
268	1299	1116
269	1304	1110
270	1308	1105
271	1312	1100
272	1317	1095
273	1321	1090
274	1326	1084
275	1330	1079
276	1335	1074
277	1339	1069
278	1343	1064
279	1348	1059
280	1352	1054
281	1357	1049
282	1361	1044
283	1365	1038
284	1370	1033
285	1374	1028
286	1379	1023
287	1383	1018
288	1388	1013
289	1392	1008
290	1397	1003
291	1401	998
292	1406	993
293	1410	988
294	1414	983
295	1419	978
296	1423	973
297	1428	968
298	1432	963
299	1437	958
300	1441	953
301	1445	947
302	1450	942
303	1454	937
304	1459	932
305	1463	927
306	1468	922
307	1472	917
308	1476	912
309	1481	907
310	1485	902
311	1490	897
312	1494	892
313	1499	887
314	1503	883
315	1508	878
316	1512	873
317	1516	868
318	1521	863
319	1525	858
320	1530	853
321	1534	848
322	1539	843
323	1543	838
324	1547	833
325	1552	828
326	1556	823
327	1561	818
328	1565	813
329	1569	808
330	1574	803
331	1578	798
332	1582	793
333	1587	788
334	1591	784
335	1596	779
336	1600	774
337	1605	769
338	1609	764
339	1613	759
340	1618	754
341	1622	749
342	1627	744
343	1631	739
344	1635	734
345	1640	730
346	1644	725
347	1649	720
348	1653	715
349	1658	710
350	1662	705
351	1667	700
352	1671	696
353	1675	691
354	1680	686
355	1684	681
356	1688	676
357	1693	671
358	1697	666
359	1702	661
360	1706	657
361	1710	652
362	1715	647
363	1719	642
364	1724	637
365	1728	632
366	1732	627
367	1737	623
368	1741	618
369	1745	613
370	1750	608
371	1754	603
372	1759	598
373	1763	594
374	1768	589
375	1772	584
376	1777	579
377	1781	575
378	1786	570
379	1790	565
380	1795	560
381	1799	555
382	1803	551
383	1808	546
384	1812	541
385	1817	536
386	1821	531
387	1826	527
388	1830	522
389	1835	517
390	1839	512
391	1844	508
392	1848	503
393	1853	498
394	1857	493
